airport	terminal	date	hour	us_avg_wait	us_max_wait	non_us_avg_wait	non_us_max_wait	all_avg_wait	all_max_wait	all_n_0..15	all_n_16..30	all_n_31..45	all_n_46..60	all_n_61..90	all_n_91..120	all_n_120..	all_excluded	all_total	all_flights	all_booths
ATL	Concourse E	1/1/2018	0500 - 0600	5	44	29	65	13	65	641	134	97	57	10	0	0	34	973	4	15
ATL	Concourse E	1/1/2018	0700 - 0800	5	17	8	17	6	17	254	6	0	0	0	0	0	15	275	1	6
ATL	Concourse E	1/1/2018	0800 - 0900	0	5	0	6	0	6	233	0	0	0	0	0	0	9	242	1	11
ATL	Concourse E	1/1/2018	0900 - 1000	1	10	1	10	1	10	130	0	0	0	0	0	0	2	132	1	8
ATL	Concourse E	1/1/2018	1000 - 1100	3	29	8	30	5	30	608	74	0	0	0	0	0	26	708	5	11
ATL	Concourse E	1/1/2018	1100 - 1200	5	24	9	24	6	24	214	37	0	0	0	0	0	16	267	2	6
ATL	Concourse E	1/1/2018	1200 - 1300	10	54	20	56	12	56	773	309	117	26	0	0	0	50	1275	7	14
ATL	Concourse E	1/1/2018	1300 - 1400	11	34	15	34	12	34	308	136	8	0	0	0	0	23	475	3	14
ATL	Concourse E	1/1/2018	1400 - 1500	12	64	17	63	13	64	1289	542	99	102	6	0	0	94	2132	9	16
ATL	Concourse E	1/1/2018	1500 - 1600	16	61	19	61	16	61	791	504	134	88	4	0	0	78	1599	8	18
ATL	Concourse E	1/1/2018	1600 - 1700	5	43	18	46	8	46	690	117	61	1	0	0	0	31	900	6	13
ATL	Concourse E	1/1/2018	1700 - 1800	20	79	22	79	20	79	1039	399	301	273	69	0	0	99	2180	13	15
ATL	Concourse E	1/1/2018	1800 - 1900	15	56	17	52	15	56	815	247	272	59	0	0	0	63	1456	10	22
ATL	Concourse E	1/1/2018	1900 - 2000	28	79	50	81	31	81	348	35	10	50	225	0	0	35	703	6	21
ATL	Concourse E	1/1/2018	2000 - 2100	30	80	40	80	32	80	94	240	51	94	63	0	0	22	564	4	23
ATL	Concourse E	1/1/2018	2100 - 2200	14	34	18	34	14	34	225	137	101	0	0	0	0	17	480	3	19
ATL	Concourse F	1/1/2018	0500 - 0600	8	37	18	59	14	59	161	80	22	13	0	0	0	9	285	1	12
ATL	Concourse F	1/1/2018	1500 - 1600	5	14	18	18	5	18	58	2	0	0	0	0	0	2	62	1	1
ATL	Concourse F	1/1/2018	1600 - 1700	9	50	27	53	14	53	199	9	48	20	0	0	0	7	283	1	10
ATL	Concourse F	1/1/2018	2100 - 2200	12	27	20	28	14	28	175	133	0	0	0	0	0	17	325	5	19
ATL	Concourse F	1/1/2018	2200 - 2300	1	16	0	0	1	16	126	2	0	0	0	0	0	4	132	1	18
ATL	Concourse E	1/2/2018	0500 - 0600	4	34	14	41	7	41	1016	200	55	0	0	0	0	60	1331	6	12
ATL	Concourse E	1/2/2018	0600 - 0700	1	15	8	23	3	23	235	23	0	0	0	0	0	13	271	1	8
ATL	Concourse E	1/2/2018	0800 - 0900	14	44	23	72	16	72	239	8	102	1	27	0	0	17	394	2	11
ATL	Concourse E	1/2/2018	0900 - 1000	37	67	43	62	39	67	4	17	70	35	4	0	0	7	137	1	8
ATL	Concourse E	1/2/2018	1000 - 1100	11	46	24	48	15	48	220	112	51	5	0	0	0	21	409	3	8
ATL	Concourse E	1/2/2018	1100 - 1200	7	45	21	53	9	53	247	41	25	4	0	0	0	17	334	3	9
ATL	Concourse E	1/2/2018	1200 - 1300	8	62	32	77	15	77	611	146	73	96	29	0	0	43	998	6	14
ATL	Concourse E	1/2/2018	1300 - 1400	9	55	24	59	13	59	1099	298	158	63	0	0	0	81	1699	9	18
ATL	Concourse E	1/2/2018	1400 - 1500	4	36	11	39	7	39	420	95	23	0	0	0	0	25	563	2	12
ATL	Concourse E	1/2/2018	1500 - 1600	11	61	18	84	13	84	1425	596	131	82	28	0	0	96	2358	11	18
ATL	Concourse E	1/2/2018	1600 - 1700	16	69	21	69	17	69	747	510	291	41	13	0	0	66	1668	10	16
ATL	Concourse E	1/2/2018	1700 - 1800	21	84	23	86	21	86	788	270	343	167	44	0	0	78	1690	10	19
ATL	Concourse E	1/2/2018	1800 - 1900	32	104	40	103	34	104	841	530	557	426	420	43	0	140	2957	17	21
ATL	Concourse E	1/2/2018	1900 - 2000	34	97	48	100	36	100	244	447	352	365	208	14	0	74	1704	11	20
ATL	Concourse E	1/2/2018	2000 - 2100	22	58	31	62	24	62	327	288	320	69	3	0	0	45	1052	6	14
ATL	Concourse E	1/2/2018	2100 - 2200	0	3	2	5	0	5	153	0	0	0	0	0	0	5	158	1	6
ATL	Concourse F	1/2/2018	0900 - 1000	6	43	23	43	16	43	159	42	64	0	0	0	0	6	271	1	11
ATL	Concourse F	1/2/2018	1100 - 1200	16	65	25	66	19	66	111	30	39	18	6	0	0	9	213	2	7
ATL	Concourse E	1/3/2018	0500 - 0600	8	53	12	58	9	58	909	258	106	16	0	0	0	61	1350	6	16
ATL	Concourse E	1/3/2018	0600 - 0700	0	1	0	1	0	1	285	0	0	0	0	0	0	8	293	1	15
ATL	Concourse E	1/3/2018	0700 - 0800	0	3	0	3	0	3	202	0	0	0	0	0	0	7	209	1	13
ATL	Concourse E	1/3/2018	0800 - 0900	10	27	13	26	10	27	258	103	0	0	0	0	0	14	375	2	12
ATL	Concourse E	1/3/2018	0900 - 1000	4	19	7	18	5	19	251	9	0	0	0	0	0	10	270	2	9
ATL	Concourse E	1/3/2018	1000 - 1100	0	11	1	12	0	12	156	0	0	0	0	0	0	4	160	1	10
ATL	Concourse E	1/3/2018	1100 - 1200	14	68	12	67	13	68	383	93	114	18	7	0	0	30	645	4	10
ATL	Concourse E	1/3/2018	1200 - 1300	8	47	15	52	10	52	539	204	63	5	0	0	0	42	853	6	17
ATL	Concourse E	1/3/2018	1300 - 1400	11	39	17	41	12	41	729	340	47	0	0	0	0	49	1165	7	16
